scenario_id,object_id,n_valid_steps,pose_minADE,npose_minADE,ade_delta,ade_delta_pct,pose_minFDE,npose_minFDE,fde_delta,fde_delta_pct
f73be7f4cfdfdbff,443,80,2.9245868,3.77012,0.84553313,22.427221,6.1096935,8.006416,1.8967228,23.690035
451d377d1ea1534e,4230,80,0.24166545,1.0856546,0.84398913,77.74011,0.6690166,2.496174,1.8271575,73.19832
95bf06646c5767f1,2560,79,0.46987736,1.3119254,0.84204805,64.18414,1.0456938,3.2254596,2.1797657,67.58
2b5401ba7bc0c2ad,1750,80,0.70674133,1.5473801,0.84063876,54.326584,1.4607968,3.3088336,1.8480368,55.85161
1c3ddd4b0e5af46d,1357,80,0.23106727,1.0706017,0.8395344,78.41706,0.5170247,2.364653,1.8476284,78.135284
d598b0f0b0bb4501,1969,77,0.49122435,1.3305051,0.8392808,63.079857,1.0653845,2.951731,1.8863465,63.90645
b513c33786e77eaf,833,80,0.31151518,1.1494242,0.837909,72.89815,0.58285564,2.440324,1.8574684,76.11565
b1f47d991f499a7f,1694,74,2.292529,3.13021,0.8376808,26.761171,4.261095,6.4994235,2.2383285,34.438877
c302ab40cd9cc976,1034,67,0.33310008,1.1653725,0.8322724,71.416855,0.7913461,2.440716,1.64937,67.57729
52908d272436da52,3384,64,0.5690693,1.4011838,0.8321145,59.38653,1.0426761,2.9576647,1.9149886,64.74664
792a0e054c4f287f,56,80,0.8045678,1.634497,0.82992923,50.77582,1.7523149,3.6399324,1.8876175,51.858585
1c8c1efe9255be88,4405,77,0.7550491,1.5844396,0.8293905,52.345985,1.5386328,2.874719,1.3360862,46.477108
f04895c4ed5c7b22,803,75,0.62936825,1.4582859,0.8289177,56.841915,1.4757088,3.3569422,1.8812333,56.04009
add0b1aa8a1258ae,930,78,0.6611371,1.4893974,0.8282603,55.61043,1.5476769,3.3241389,1.776462,53.44127
beb7e72c37256948,6232,80,1.1059269,1.932167,0.8262402,42.762356,2.2029107,4.021172,1.8182614,45.217197
d8db476d708725a0,8070,80,1.1011959,1.9253323,0.8241364,42.80489,2.2980282,4.1392426,1.8412144,44.481915
6ee3d96a9d544c01,2668,70,0.4929319,1.3143486,0.8214167,62.49611,1.0109109,2.733769,1.7228581,63.02135
8c270fe5647eb33f,2184,80,0.77357733,1.593181,0.8196037,51.444477,1.7108576,4.0279403,2.3170826,57.525246
147ed73b2ae2a066,5053,74,0.3577841,1.1757969,0.8180128,69.57093,0.7785189,3.073584,2.2950652,74.67065
c42dde0e999e51d7,2237,80,0.6283921,1.4453892,0.81699705,56.524364,1.327897,3.1992254,1.8713285,58.49317
81884bc54dcc5a28,6509,80,0.60263914,1.4182512,0.815612,57.50829,0.9405199,2.8716514,1.9311315,67.248116
ab69a4132dbc3a47,1756,80,0.17610468,0.991315,0.81521034,82.235245,0.51014525,1.8974442,1.3872991,73.11409
52a6a31516bde069,3266,53,0.8207532,1.6341662,0.813413,49.775417,1.6643679,3.4034734,1.7391055,51.097958
e6bf6dc67cd0b3a0,3285,80,1.5104201,2.323073,0.8126528,34.981804,3.392321,5.0625076,1.6701865,32.99129
fd588bf4c9b5971d,4649,80,0.58174896,1.3937726,0.81202364,58.26084,1.1813171,3.0211275,1.8398104,60.898136
f65740d5f3c16e7b,82,75,1.122319,1.934194,0.811875,41.97485,2.5759056,4.3438883,1.7679827,40.700466
a09a2a737eb37c68,5860,73,0.33602682,1.1462171,0.8101903,70.683846,0.69603974,2.5821517,1.886112,73.0442
96b35f1ccf11ad45,1810,80,0.7824732,1.5893795,0.80690634,50.76864,1.3057089,3.2123766,1.9066677,59.353806
262a80d4301a0e2,1734,80,0.7731787,1.5792704,0.80609167,51.04203,1.8423994,3.5959902,1.7535908,48.765175
15b6afac916abc25,1671,80,2.1758742,2.981934,0.80605984,27.031443,5.1039863,6.8175726,1.7135863,25.134846
8ad2d9ab99b564ac,4776,76,0.54629064,1.3519007,0.80561006,59.59092,1.0108484,3.123913,2.1130648,67.6416
5f86451143403a0d,47,80,0.39092132,1.1948426,0.8039212,67.28261,0.6657768,2.439139,1.7733622,72.70444
737b99db2eeccb1b,1463,80,1.7877995,2.5913575,0.803558,31.009153,4.053299,5.863655,1.8103561,30.874193
bbb62071a4dc6691,8834,80,0.44091925,1.2443067,0.8033874,64.56506,1.0219214,2.7225409,1.7006195,62.46442
b138a10b40a28766,4346,80,1.0500164,1.8530304,0.80301404,43.33518,2.4954123,4.2054753,1.710063,40.662773
154947dc932db2e,3038,80,1.3255827,2.1259124,0.8003297,37.646408,3.5378108,5.364991,1.8271804,34.057472
7721ff4800156886,1577,80,0.7133195,1.5109608,0.79764134,52.790337,1.7446235,3.545153,1.8005294,50.78848
455b5f07240945a7,2991,80,1.0226371,1.8190603,0.7964232,43.78212,2.1737695,3.9380124,1.7642429,44.80034
a4f4dd5895225b74,806,80,0.45792332,1.2530133,0.79508996,63.454235,0.9193566,2.6758785,1.7565219,65.642815
e5ccd3a2e0e69a45,3309,80,0.15705918,0.9511601,0.7941009,83.48762,0.30008012,2.13719,1.83711,85.95913
92f631b572fa1e7f,6481,80,0.7248429,1.5184923,0.79364944,52.26562,1.4890484,3.25466,1.7656115,54.248726
948760286866e94b,2683,73,1.2144015,2.007358,0.7929566,39.5025,2.8195033,4.4760046,1.6565013,37.00848
7ef61cac9680f9fd,896,80,0.16266471,0.9555356,0.7928709,82.97659,0.24223515,1.9640977,1.7218626,87.66685
95420b3bcc798c13,4304,74,0.5497397,1.3420057,0.792266,59.03596,1.0406021,2.9286928,1.8880907,64.46872
c4f69c6b5e708c93,6668,80,0.44210282,1.2340072,0.79190445,64.17341,1.1441729,2.8859265,1.7417536,60.353355
696d414b7c440196,627,80,1.6929909,2.4845996,0.7916087,31.860615,2.7531512,4.516847,1.763696,39.04706
1772895bbe6d9b34,6072,80,0.5176083,1.3091462,0.7915379,60.462147,1.1520209,2.9766705,1.8246496,61.29834
87c92f90d4013d88,2203,79,0.8115922,1.6026665,0.7910743,49.359882,1.7826399,3.5695624,1.7869226,50.059994
d604994a9a0f1832,6254,75,2.7138326,3.5046477,0.7908151,22.564754,6.199719,7.847661,1.6479421,20.99915
8dce8a5fd9c58757,4171,80,1.3868577,2.174257,0.7873993,36.214638,2.742959,4.549863,1.8069038,39.713367
ab03d3ca1fcea46b,3172,80,0.734876,1.5213922,0.78651625,51.69714,1.643839,3.4550622,1.8112231,52.422302
ef36fa85fca5e8a5,4879,41,0.3126468,1.0990636,0.7864168,71.55335,0.82422,2.4171443,1.5929244,65.90109
ba3be339ec353d6c,2234,80,1.2139221,1.9988258,0.78490365,39.268238,1.9810009,3.459879,1.478878,42.743637
c59ed57d4295f9c2,3692,80,0.13759014,0.92237586,0.78478575,85.08308,0.17696138,1.9588356,1.7818742,90.96599
c93bfbfb8a56af70,2141,77,0.67816824,1.4626485,0.7844803,53.63423,1.2172487,3.0015125,1.7842638,59.445488
5ce13e00b105267e,58,80,0.6494836,1.4329479,0.78346425,54.675,1.3631351,3.1872191,1.824084,57.231213
276dc316af4df70f,3862,80,1.1550405,1.9379944,0.78295386,40.40021,2.4072838,4.1706924,1.7634087,42.280956
80efbf873c5e38be,1037,80,0.53868943,1.3214462,0.78275675,59.234856,1.2624657,3.0818567,1.819391,59.035545
8e8bfa9156541979,3002,80,11.357294,12.13967,0.7823763,6.4447904,23.101738,25.052656,1.9509182,7.787271
